"geo_id","name","s1701_c01_001e","s1701_c03_001e"
"11001005001","Census Tract 50.01, District of Columbia, District of Columbia","1922","6.8"
"11001005003","Census Tract 50.03, District of Columbia, District of Columbia","1619","7.5"
"11001005004","Census Tract 50.04, District of Columbia, District of Columbia","4120","22.8"
"11001005202","Census Tract 52.02, District of Columbia, District of Columbia","2683","1.6"
"11001005203","Census Tract 52.03, District of Columbia, District of Columbia","3470","5.3"
"11001005302","Census Tract 53.02, District of Columbia, District of Columbia","2539","4.1"
"11001005303","Census Tract 53.03, District of Columbia, District of Columbia","2580","10.8"
"11001005501","Census Tract 55.01, District of Columbia, District of Columbia","1673","15.8"
"11001005502","Census Tract 55.02, District of Columbia, District of Columbia","2372","12.4"
"11001005503","Census Tract 55.03, District of Columbia, District of Columbia","1812","31.6"
"11001005601","Census Tract 56.01, District of Columbia, District of Columbia","2423","29.9"
"11001005602","Census Tract 56.02, District of Columbia, District of Columbia","2683","15.5"
"11001005801","Census Tract 58.01, District of Columbia, District of Columbia","1872","28.6"
"11001005802","Census Tract 58.02, District of Columbia, District of Columbia","1936","5.8"
"11001005900","Census Tract 59, District of Columbia, District of Columbia","2153","20.0"
"11001006400","Census Tract 64, District of Columbia, District of Columbia","2418","43.3"
"11001006500","Census Tract 65, District of Columbia, District of Columbia","2842","22.1"
"11001006600","Census Tract 66, District of Columbia, District of Columbia","2025","2.2"
"11001006700","Census Tract 67, District of Columbia, District of Columbia","4266","1.0"
"11001006801","Census Tract 68.01, District of Columbia, District of Columbia","2298","15.5"
"11001006802","Census Tract 68.02, District of Columbia, District of Columbia","2295","9.7"
"11001006804","Census Tract 68.04, District of Columbia, District of Columbia","288","55.9"
"11001006900","Census Tract 69, District of Columbia, District of Columbia","2806","3.7"
"11001007000","Census Tract 70, District of Columbia, District of Columbia","2291","3.0"
"11001007100","Census Tract 71, District of Columbia, District of Columbia","3403","21.5"
"11001007201","Census Tract 72.01, District of Columbia, District of Columbia","1893","2.2"
"11001007202","Census Tract 72.02, District of Columbia, District of Columbia","3836","1.7"
"11001007203","Census Tract 72.03, District of Columbia, District of Columbia","2885","4.6"
"11001007301","Census Tract 73.01, District of Columbia, District of Columbia","4434","5.7"
"11001007304","Census Tract 73.04, District of Columbia, District of Columbia","4351","28.0"
"11001007401","Census Tract 74.01, District of Columbia, District of Columbia","1541","57.4"
"11001007403","Census Tract 74.03, District of Columbia, District of Columbia","2615","48.7"
